Matvare ID,Matvare,Kategori,Kostholdsgrupper,Kilojoule (kJ),Kilokalorier (kcal),Vann (g),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Salt (NaCl) (g),Alkohol (g),Vitamin A (RAE) (RAE),Vitamin A (RE) (RE),Retinol (µg),Betakaroten (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Jern (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Magnesium (Mg) (mg),Sink (Zn) (mg),Selen (Se) (µg),Kobber (Cu) (mg),Fosfor (P) (mg),Jod (I) (µg),FoodEx2-klassifisering
13.078,"Macchiato, enkel",Drikke,Drikke,122,29,93,0.5,0.3,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.9,4.2,0.7,0,0,0,1.2,0,0,6,6,6,3,0,0,0.01,0.02,0,0.2,0,0,0.1,0,24,0,6,21,31,0.1,0,0,13,5,A03KJ
13.139,"Macchiato, enkel, med havrebasert drikke",Drikke,Drikke,122,29,93,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,5.9,5.2,0.7,0,0,0,0.9,0,0,0,0,0,0,0.1,0,0,0.02,0,0.2,0,0,0,0,23,0,4,5,31,0,0,0,5,3,A03KJ#F04.A03TL
13.158,"Macchiato, enkel, med havrebasert drikke (med jod)",Drikke,Drikke,137,32,92,0.3,0,0,0,0,0,0,0.2,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,6.4,5.3,1.2,0,0,0,1,0,0,0,0,0,0,0.2,0.1,0,0.05,0,0.2,0,3,0.1,0,36,0,9,9,27,0,0,0,8,5,A03KJ#F04.A03TL$F09.A0EXA
13.138,"Macchiato, enkel, med laktosefri melk",Drikke,Drikke,115,27,94,0.3,0.2,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.7,4.2,0.5,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.01,0,0.3,0,0,0.1,0,25,0,4,22,31,0,0,0,13,5,A03KJ#F10.A0CQD
13.14,"Macchiato, enkel, med soyabasert drikke",Drikke,Drikke,103,24,94,0.1,0,0,0,0,0,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,4.5,4.2,0.3,0.2,0.2,0,1.3,0,0,0,0,0,0,0.1,0,0,0.03,0,0.2,0,3,0,0,29,0.1,4,41,33,0,0,0.02,20,3,A03KJ#F04.A03TJ
13.098,Mandelbasert drikke,Drikke,Drikke,109,26,95,1.3,0.1,0,0,0.1,0,0,0.8,0,0.8,0.3,0.3,0,0,0,0,0,0,0,0,0,0.3,0,3.5,0.4,3.1,2.3,2.3,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,49,17,6,0,0,0.02,67,0,A03TK
13.099,"Mandelbasert drikke, med kalsium og vitaminer (vit B2, vit B12, vit E, vit D), usøtet",Drikke,Drikke,52,13,99,1.4,0.1,0,0,0.1,0,0,1,0,0.9,0.3,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.7,2.9,0,0.24,0,0,0.01,2,0.3,0,150,0.1,48,16,9,0.1,0,0,75,0,A03TK#F04.A0EXH$F04.A0EXL$F04.A0EXM$F04.A0EXP$F04.A0EXX$F10.A0F6C
13.072,"Mineralvann, med kullsyre, Bonaqua naturell",Drikke,Drikke,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,A03DS
13.073,"Mineralvann, med kullsyre, Bris naturell",Drikke,Drikke,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,1,2,0,0,0,0,21,A03DS
13.074,"Mineralvann, med kullsyre, Farris naturell",Drikke,Drikke,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,3,0,0,0,0,38,A03DS
13.076,"Mineralvann, med kullsyre, Olden",Drikke,Drikke,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A03DS
